id,name,latitude,longitude,feature_code,elevation
1115008,Zircho Zom,36.86813,73.05558,MT,5472
1115041,Kuh-e Goybaz,36.20847,71.35944,MT,5064
1120666,Koh-e Zhibchul,35.61647,70.36728,MT,5006
1120968,Koh-e Zard,36.10709,70.3782,MT,5220
1121422,Koh-e Yaghardah,36.91797,71.38669,MT,5338
1121705,Koh-e Warmana,35.77683,70.51431,MT,5644
1121743,Koh-e War,35.88256,70.19727,MT,5165
1122180,Koh-e Tuloksa,35.86603,71.0808,MT,6435
1122367,Koh-e Toluksay,35.72756,71.06427,MT,5364
1122635,Tawask Ghar,36.06117,71.0938,MT,5443
1123056,Koh-e Tal-e Sabz,36.15923,70.5622,MT,5375
1123062,Koh-e Talik Siyah,36.00827,70.13908,MT,5376
1123626,Koh-e Surai Begada,35.88672,71.28776,MT,5074
1125529,Koh-e Sharshar,35.81132,70.03599,MT,5003
1125725,Koh-e Shal-e Wakil,35.5681,70.34209,MT,5033
1125804,Koh-e Shakaraw,36.09191,70.44268,MT,5738 
1126782,Koh-e Sar-e Oshnugan,36.30254,70.46047,MT,5519
1126790,Koh-e Sar-e Tund,35.92547,70.34517,MT,5011
1126791,Koh-e Sar-e Tund,35.74979,70.48108,MT,6001
1126872,Sar-e Koh-e Poloksho,35.84826,70.49487,MT,5636
1127012,Koh-e Sar-e Yamak,36.06008,70.49259,MT,5139
1127341,Sar-e Chap Darah,36.17684,70.48319,MT,5513
1127565,Koh-e Sang-e Ujne,36.13211,70.66911,MT,5458
1127657,Koh-e Sang-e Bangi,35.70802,70.49954,MT,5792
1127926,Sakar Sar,36.89867,74.24525,MT,6271
1128067,Sad Ishtragh,36.47714,71.63726,MT,5856
1128184,Koh-e Ruyshuwuk,35.78048,70.33246,MT,5116
1128449,Koh-e Razar,36.46355,71.22892,MT,5081
1128466,Koh-e Rowkan,35.93766,70.20536,MT,5310
1128477,Ratkhut Zom,36.4475,71.5425,MT,5670
1128571,Koh-e Rakhoy,36.02902,70.47449,MT,5275
1130125,Koh-e Qalat,36.24953,70.28367,MT,5162
1131002,Koh-e Pashalzar,35.89208,70.10283,MT,5051
1131115,Koh-e Parandaz,36.11628,70.09776,MT,5087
1131270,Pakawalpit,35.58417,71.06417,MT,5334
1131455,Koh-e Oshnugan,36.20788,70.47265,MT,5288
1131568,Uchukgal Ghar,35.44822,71.02935,MT,5160
1131657,Noshaq,36.43473,71.83974,MT,7485
1132205,Koh-e Nawak,35.68155,70.35247,MT,5129
1133368,Koh-e Miyan Koh,36.77797,71.36854,MT,5211
1133393,Koh-e Mianah-ye Anjuman,35.83407,70.37338,MT,5253
1133535,Koh-e Menjan,35.89113,71.06374,MT,6130
1134578,Koh-e Lolukgul,35.795,71.15063,MT,5460
1134874,Koh-e Lambasah,35.91662,70.75266,MT,5758
1135911,Koh-e Khwarkhadi,35.87976,70.60263,MT,5217
1135968,Koh-e Khush Darah,36.84995,71.30735,MT,5233
1136805,Koh-e Khawiyah,35.76839,70.89404,MT,5249
1137427,Khabi Ghar,36.01104,71.02422,MT,5211
1137448,Koh-e Keshni Khan,36.56667,71.9,MT,5950
1137626,Koh-e Katwik,36.38173,70.4195,MT,5085
1138256,Koh-e Kapika,35.99451,70.22543,MT,5206
1138443,Koh-e Kamanduk,35.91797,70.2925,MT,5156
1138472,Ghat-e Kalyow,36.41358,70.47822,MT,5226
1138615,Koh-e Kalaminar,35.545,69.6943,MT,5067
1138760,Koh-e Kaj Aw,36.37182,70.59909,MT,5355
1139689,Koh-e Jalgia,35.80085,70.46283,MT,5203
1139761,Koh-e Jaghdawek,36.49555,71.26232,MT,5135
1141322,Ghat-e Howz-e Kabud,35.81696,70.67696,MT,5716
1141343,Gharqab,36.88333,73.23333,MT,5628
1142125,Koh-e Gabar Awuk,35.61039,70.52778,MT,5225
1142256,Faraz,36.35015,70.8811,MT,5181
1143798,Koh-e Dasht Siki,36.31663,71.47888,MT,5464
1143802,Koh-e Dasht Kah,36.12027,70.9837,MT,5568
1143824,Koh-e Dasht-e Madyar,35.98345,70.26916,MT,5432
1144138,Koh-e Darahchah Bayg,36.30847,71.05318,MT,5510
1144867,Koh-e Chuk Shakh,36.80039,71.42945,MT,5467
1145276,Charukh Ghar,36.0331,71.15664,MT,5315
1145433,Koh-e Chap Darah,36.20304,71.23362,MT,5106
1145958,Koh-e Tsingilik,35.63599,70.45883,MT,5022
1146348,Koh-e Biland,36.16557,71.00507,MT,5401
1147224,Kuh-e Bandaka,36.17917,70.98333,MT,6812
1147871,Koh-e Azhdarah,35.86596,70.05297,MT,5064
1148037,Koh-e Awdak,36.16065,71.03356,MT,5336
1149642,Koh-e Ab Darah,35.89448,69.99059,MT,5007
1427522,Koh-e Kapikah,36.009,70.2572,MT,5211
1427544,Koh-e Sokhtah,36.03764,70.42278,MT,5743
1427545,Koh-e Sangbunah,36.01584,70.41329,MT,5503
1427546,Koh-e Kasha,36.02417,70.42858,MT,5275
1427580,Koh-e Dasht-e Kalan,36.09143,70.79656,MT,5109
1427590,Koh-e Kan-e Zamch,36.11402,70.6682,MT,5208
1427606,Koh-e Daygtora Shan,36.10017,70.56126,MT,5286
1427607,Koh-e Khosh Darah,36.12148,70.56507,MT,5035
1427608,Koh-e Chap Darah,36.10856,70.51258,MT,5517
1427610,Koh-e Rubaghon,36.06373,70.43509,MT,5723
1427615,Koh-e Amlan,36.10274,70.36358,MT,5221
1427652,Koh-e Kharghan,36.19234,70.31082,MT,5122
1427662,Koh-e Nar,36.2026,70.4032,MT,5141
1427664,Koh-e Chap Darah,36.18453,70.42258,MT,5170
1427667,Koh-e Duab,36.13981,70.47389,MT,5061
1427671,Kotal-e Piw,36.14754,70.53484,MT,5841
1427672,Koh-e Kirichak,36.14008,70.59312,MT,5123
1427677,Koh-e Khakistarak Dahanak,36.15304,70.66927,MT,5862
1427678,Koh-e Maghzar-e Muriar Beg,36.18001,70.68302,MT,5757
1427680,Koh-e Silikayik,36.15211,70.7079,MT,5021
1427688,Koh-e Chopikah,36.21079,70.69294,MT,5390
1427690,Koh-e Ma'dan-e Surb,36.22776,70.73799,MT,5317
