id,name,latitude,longitude,feature_code,elevation
6420324,N'oliman,14.94444,39.05333,MT,1897
1161622,Kuh-e Boz,30.82205,60.34255,MT,1883
11605162,Barkand,35.10363,72.19267,MT,3166
7303596,Davennaspitz,47.12651,9.89182,PK,1881
2491313,Ksar et Touadjine,34.69237,7.68,MT,926
2506983,Djebel Annina Bou Djellil,35.08523,-1.64056,MT,612
6718260,Kuh-e Dalan Kash,38.8571,46.5943,MT,1488
12081652,Dizindag,39.6508,46.67028,MT,1749
7911732,Gunung Cadas,-7.4586,107.8466,MT,1210
6403296,Cerro Paccha,-10.08667,-76.60472,MT,4289
9086747,Cerro Cuacuilco,20.70456,-98.41736,MT,1633
8168733,Mount Pinniger,-37.23819,145.96124,MT,526
5569279,Pattymocus Butte,40.29598,-122.86863,MT,1220
3893200,Cerro Cuatro Piramides,-43.42989,-72.57432,MT,1408
6723545,Bukit Kayu Arang,0.0492,100.8569,MT,627
7614447,Tanete Bau,-2.9827,119.1938,MT,1042
3149691,"Knutshoa,s",62.30653,9.68639,MT,1406
8080092,Gunung Kekep,-8.3322,112.4882,MT,303
3945780,Cerro Caniquirisi,-15.78333,-69.81667,MT,3815
4766801,Jesses Knob,37.30179,-80.98231,MT,1120
4013126,El Comalito,20.49664,-104.62046,MT,2589
3953784,Cerro Quello Mocco,-14.18528,-71.31583,MT,3759
11091789,Dhar-d Tiouaje,35.01946,-4.16671,MT,1145
11494554,Pico de Mijas,36.61333,-4.65932,MT,1149
2290885,Bougouri,9.46917,-6.83028,MT,893
6626690,Bloch Peak,-74.2,163.25,PK,1505
11705285,Kuh-e Pir Mahmud,32.20216,49.38108,MT,1152
1944842,Foho Lasaun,-8.96639,125.36361,MT,1420
9195523,Cerro Los Comales,22.52322,-104.1459,MT,1954
4305008,Porter Knob,37.52507,-85.00662,MT,350
6698996,Gunung Prajah,4.4384,96.9792,MT,1527
12746639,Pech de Limouzy,43.05585,1.54462,PK,704
7038205,Gunung Gendingwuluh,-8.054,114.1749,MT,1524
8777405,Cerro La Santa Cruz,25.53395,-102.17764,MT,1353
6373465,Gunung Blusdron,-7.48778,109.70722,MT,566
5967605,Guardian Mountain,57.63295,-128.80367,MT,2067
5534292,Abraham Peak,37.24304,-112.97855,MT,2128
5288974,Cedar Knoll,36.80582,-112.41769,MT,1735
6937715,Grosser Speikkofel,46.89389,13.93972,PK,2270
3357276,Glockenberg,-27.33794,18.53856,MT,1733
11403989,Kuh-e Zard Nadeh,36.44987,47.02086,MT,1801
7580518,Dadgul Kunj,34.33902,69.26866,MT,2337
1534643,Gora Cheremshanskiy Belok,49.50806,84.26668,MT,1504
4932960,Chestnut Hill,42.06538,-71.5734,MT,166
6937429,Laucherengrat,46.85377,8.44641,PK,2418
6282473,Sanad el Aali,33.84306,36.34194,MT,1741
3006945,La Rhune,43.30888,-1.63507,MT,905
2064291,Mount Observation,-31.89544,116.5576,MT,360
5113754,Corner Mountain,43.5209,-74.16847,MT,697
11339924,Knchrrakhut',40.90832,45.4751,MT,1047
1799283,Niujiao Shan,25.75,119.6,MT,14
3996209,Cerro Mesa,26.28333,-106.38333,MT,2662
1427437,Qayloch,35.85018,67.25365,MT,1893
3140529,Salen,62.81346,9.06771,PK,1229
9137339,Lindepallen,58.9515,5.93792,MT,74
3262655,Tisovi Vrh,44.28218,16.79895,PK,1147
11364162,P'ots'khasar,40.93329,44.49872,MT,1835
789908,Jalovik,43.37159,22.4502,MT,785
4940876,Jiminy Peak,42.54425,-73.28622,MT,726
6916487,Gora Chayka,52.1004,86.399,MT,627
2347679,Bara Peak,10.03491,12.16673,PK,666
4841316,Rattlesnake Hill,41.82315,-72.13535,MT,218
6933990,Roti Steine,46.40159,7.50799,PK,2505
8260176,Sasso Simone,43.76409,12.28533,MT,1204
3725694,Morne Ena,18.81667,-72.35,MT,952
9148522,Sauanuten,59.82741,6.38763,MT,1179
8321562,Phu Kamphra,15.66086,105.55053,MT,449
3513486,Maskehorne Hill,17.62831,-63.23527,MT,1
6725098,Guangdongwan Shan Zuigaofeng,23.40231,120.90676,PK,2715
3833732,Cerro Tres Picos,-48.43539,-69.35759,MT,771
5439246,Snodgrass Mountain,38.93332,-106.99005,MT,3396
2988181,Mont Pellard,45.14742,6.35675,PK,2882
6303235,Cerro Arpa,-12.53925,-76.57448,MT,464
5352245,Giraud Peak,37.07739,-118.56443,MT,3845
9012676,Cerro Picacho Colorado,25.38461,-103.92474,MT,1591
13043948,Gora Chernaya,57.93578,117.88894,MT,935
8183695,Gunung Watuputih,-8.0876,111.4241,MT,807
3767299,Cerro El Castillo,10.29668,-70.42811,MT,868
11864227,Qocdag,40.09394,46.09423,MT,2497
5821811,Cook Peak,44.84271,-110.57521,MT,2973
8256278,Vorderer Gleisberg,49.37276,7.98972,MT,463
3259642,Skrbin Vrh,44.815,16.03083,PK,893
4372562,Wagner Hill,39.65231,-79.31309,MT,792
2525702,Monte Antennamare,38.15,15.46667,MT,760
1424553,Koh-e Kirsh,35.16427,64.5905,MT,1990
3116273,Turo de Santa Maria de Montnegre,41.65926,2.58624,PK,726
1461494,Chuling,33.32742,64.82726,MT,2585
3188751,Trojvrh,43.55541,18.39897,MT,1804
8167355,Paradise Mountain,-31.4485,150.78461,MT,629
8660259,Rudino,41.43106,20.9583,MT,1047
11035283,Sari Konda,16.23496,79.63775,MT,340
6377736,Cerro Pedernal,-6.21688,-78.49332,MT,1835
8164606,Khao Pha Ka Kho,15.82792,99.04856,MT,1190
9979435,Nui GJan Hay,21.56051,104.18794,MT,2306
4835060,Golden Hill,41.86482,-71.93924,MT,143
10642624,Gola Glava,41.34878,22.01879,PK,668
2398080,Mont Mougoundja,-2.30391,10.39265,MT,526
13097996,Gora Chubuka,61.93984,142.46344,MT,1948
3862267,Cerro Catedral,-41.21769,-71.49592,MT,2405
8779059,Cerro El Escorpion,25.5321,-100.53838,MT,3142
5655124,Grassy Hills,47.26883,-112.67476,MT,2015
7415170,Keli Mele,-8.7174,121.2412,MT,646
8204400,Kuh-e Aqa Beg Ujan Dagh,38.24341,45.76546,MT,1777
13109369,Gora Klad,61.88798,145.15435,MT,1179
3139376,Skaanjehtahke,65.05153,14.11275,MT,1100
6939534,Maurerkogel,47.32389,12.47,PK,2129
1413790,Ladhal Bari,33.70134,73.77677,MT,1501
6365210,Cerro Culluishcuna,-13.61722,-74.80194,MT,3971
5830762,Little Sheep Mountain,44.79412,-108.25928,MT,1568
6723630,Kuh-e Hatajabad,33.38306,47.80702,MT,1495
9136082,"Bjorsjokletten,store",62.34513,11.11841,MT,1071
11503251,Kuh-e Ardushli Daghi,37.51981,48.45342,MT,2051
473495,Gora Virnimya,69.16387,29.66465,MT,419
11706661,Kuh-e Khar Mowvak,33.15155,49.31685,MT,2316
2492370,Kerdad,34.87597,0.09465,MT,1001
11363452,Dark',41.11108,44.63208,MT,1352
2632021,Eydnatindur,64.04648,-16.46176,PK,483
2635406,Moel Tryfan,53.08226,-4.21811,MT,429
5440698,Summit Peak,37.35084,-106.6967,MT,4023
12269235,Cerro Mejias,9.91522,-85.48406,MT,453
6932802,Dent Rouge,46.23003,7.08302,PK,2225
7337150,Golo Wakar,-8.4095,120.237,MT,557
3177792,Monte Croce,42.18333,13.76667,MT,864
2119662,Gora Vys',62.17426,154.5979,MT,1622
3793626,Morro El Turro,6.92389,-76.10917,MT,1564
3191276,Sarampov,44.32761,17.79644,MT,1362
2154479,Mount Og,-22.74417,149.97389,MT,297
2416931,Ore Gali,11.21667,-12.15,MT,1049
3126880,Monte de Camelle,43.16667,-9.11667,MT,169
1475772,Lakah Sang,34.69603,65.57304,MT,3281
1745200,Bukit Semeliang,5.75,101.48333,MT,836
1535038,Gora Shkili,51.2425,82.23472,MT,560
8601550,Hage Dake,27.75511,128.97059,MT,354
3899347,Cerro Ariquilda,-19.63622,-69.48981,MT,2059
6930171,Monte Conca,46.1469,11.38407,PK,2301
1936876,Mount Beteclara,-9.16047,125.51201,MT,287
9879988,Kuh-e Tall-e Guri,30.62071,54.35981,MT,1773
